Country,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Information,Information,Information,Information,Information,Information,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
  Switzerland,171342,185329,252231,210800,192847,211936,244,NA,NA,NA,390,388,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,34135,34133,39492,37201,38539,47244,89,-628,-698,NA,NA,NA,7810,10216,10991,13039,15696,23895,264,257,1218,1611,1583,1786,2083,2824,3029,4828,5357,5904,3525,4160,5658,5812,4875,4593,2804,1345,2032,1086,222,588,NA,NA,NA,NA,NA,NA,NA,NA,NA,10994,10732,10145,11761,11937,9993,9919,16156,12217,4877,5075,5850,5414,8126,13361,NA,NA,NA,NA,NA,6952,26415,26846,27699,5374,4384,5059,2748,3246,3028,2904,3061,2965,51589,65982,124922,121073,92385,98984,NA,31005,33389,21549,NA,24765
  Turkey,3798,3726,4074,4193,3834,5814,6,NA,-1,NA,-7,NA,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,2150,2117,2389,2005,2189,1784,NA,NA,NA,361,NA,NA,343,374,454,362,254,91,3,-19,NA,NA,NA,NA,179,67,62,52,42,9,NA,149,324,NA,NA,NA,(*),(*),(*),(*),(*),-1,371,506,538,409,520,262,626,NA,731,473,574,628,896,673,633,684,704,686,-40,108,118,459,NA,NA,181,172,175,153,162,159,394,363,NA,222,-7,-6,61,88,105,153,16,NA,(*),(*),NA,(*),(*),(*),149,NA,NA,NA,NA,486
  United Kingdom,632327,747425,815059,754139,830438,890086,NA,6504,2864,1347,1422,1665,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,54917,69914,94092,79463,94983,97326,18547,14449,34135,35397,24124,24842,8294,14748,9101,14286,19621,20801,3545,5949,7883,673,17372,15500,6798,6551,7971,4130,5446,7086,7932,7567,8901,10623,12799,15325,881,950,938,946,984,1024,2781,3280,5454,5741,7016,6013,6138,16420,19708,7666,7623,6734,12516,11562,12947,11257,11456,9399,38732,50307,53462,79712,89408,96785,18380,14695,12884,8132,8303,8843,156977,174636,219714,214096,219229,233321,30984,42167,48494,49731,49507,51865,251120,323797,307326,258299,300966,332610,NA,53843,63275,52102,55164,58272
  Other,57815,51759,37103,13924,12401,15717,2798,2649,2170,2131,1988,2086,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,3368,2671,3101,2726,2985,3094,NA,NA,605,NA,NA,NA,NA,NA,NA,10,-45,-43,455,-147,110,248,464,532,114,NA,139,137,130,83,154,NA,NA,90,90,82,NA,NA,NA,NA,NA,NA,NA,1186,1227,476,469,445,597,487,402,483,493,488,892,967,939,1213,1034,1188,442,497,NA,541,NA,NA,NA,NA,NA,NA,NA,NA,1686,NA,NA,1423,1550,1580,1360,1435,1447,1674,1582,NA,43446,36204,22786,-2036,-2604,-145,NA,4201,3689,NA,4832,4255
Latin America and Other Western Hemisphere,902642,893558,1008741,1000673,931017,962400,54486,48563,46736,49979,46463,48309,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,76768,86624,95729,87251,86903,79665,6725,7035,7451,7203,7590,8204,18767,17719,16919,16659,15105,12886,2351,8376,8842,8413,8817,8889,4808,6195,5830,4641,4400,3970,3011,7767,12598,7814,6827,6793,2778,2298,2708,2403,2427,2708,15248,18605,21332,20152,20429,15577,23079,18628,20050,19967,21308,20638,34233,29720,32743,36823,38482,42228,18202,19025,20675,22703,22760,19018,22406,22661,29815,30448,30327,20740,198234,192403,218526,273373,260917,272513,4649,4862,3529,6844,7608,7445,461029,457047,525066,460515,404315,441981,32636,32656,35921,32738,33243,30501
  South America,129303,133272,138996,134707,138705,140159,29973,24933,22470,29559,30971,31219,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,34558,36369,40899,39189,37741,29517,3093,3189,3152,2985,2896,3342,12801,11155,11155,11052,9425,8231,NA,5808,6150,5725,5654,5505,2735,NA,NA,2107,1684,985,767,1237,4965,4123,3979,4093,835,722,765,449,380,355,3163,3806,4756,5501,6129,716,NA,NA,NA,7248,7593,6291,6990,5934,6154,6713,6641,6135,7127,7574,8125,8895,9805,7536,NA,NA,NA,NA,NA,NA,21344,23089,24667,23191,23038,21466,2239,3433,2680,2867,3274,3478,13730,16588,16162,10627,12568,26901,NA,NA,NA,NA,NA,NA
    Argentina,14624,14273,15219,8907,9974,8730,954,1007,1057,789,838,761,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,3811,3476,2643,1649,1925,941,388,349,272,-463,-100,-175,1251,1727,1462,1380,1115,910,7,NA,NA,NA,NA,NA,257,286,300,269,333,80,-379,NA,NA,NA,NA,NA,22,23,23,24,12,12,940,627,415,610,849,828,1324,811,575,260,NA,-76,1860,870,892,635,828,426,1211,1548,2153,2469,2431,2139,NA,958,NA,1112,1215,NA,967,1065,1128,872,981,911,113,NA,NA,53,302,351,NA,NA,NA,1271,1375,1492,40,NA,67,55,81,NA
    Brazil,56847,67922,77486,78963,80864,70742,7473,5591,6438,11103,11400,10986,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,17799,22457,27989,27267,26404,19891,1398,1519,2060,2532,2309,2936,6048,6654,6543,6408,5044,4144,562,5650,5931,5618,5411,5178,2187,1814,1771,1635,1175,739,892,1222,4979,3782,3854,3913,273,280,328,264,244,224,1440,1773,3095,3747,4386,-991,4998,3545,3281,3281,3981,3749,1895,2241,2361,3144,2945,3000,3269,4376,4454,4701,5433,4549,NA,NA,NA,2148,2431,2435,10767,13201,15403,15080,15045,13583,917,2225,1575,1876,1821,1855,6114,8044,7115,7160,8872,8940,NA,NA,NA,6484,6513,5503
    Chile,28134,28141,25793,25660,24912,23011,NA,NA,NA,7298,6910,6813,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,4988,4690,5609,6650,6130,5677,52,65,86,69,69,28,2104,1407,1635,2368,2396,2445,17,-43,NA,NA,NA,NA,99,114,105,77,65,61,193,368,377,720,692,779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2088,2185,2476,2371,2020,1486,1464,1254,1481,1515,1254,1376,650,662,737,1038,1148,264,NA,NA,NA,NA,NA,NA,7366,7107,6239,5315,5321,5168,526,528,714,651,702,735,588,1469,1721,1446,1177,NA,NA,NA,1223,NA,NA,1424
    Colombia,7750,7884,7669,7236,7286,7767,3184,2565,2255,2489,2605,2887,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,2081,2172,2231,1973,1580,1610,93,121,161,279,194,212,617,759,876,771,642,688,NA,66,NA,NA,NA,NA,41,32,22,12,16,11,154,166,193,268,136,150,263,NA,NA,29,24,21,NA,NA,NA,206,188,NA,564,570,664,NA,NA,670,690,679,655,537,527,402,210,170,283,315,460,316,NA,NA,NA,NA,NA,NA,424,573,586,522,764,994,378,452,416,530,560,650,-32,NA,-16,76,18,-77,NA,713,NA,NA,NA,NA
    Ecuador,913,981,715,781,681,29,468,488,240,511,513,151,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,469,405,397,214,142,-51,104,NA,NA,NA,NA,NA,NA,25,NA,-159,-204,-340,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,4,4,5,6,7,NA,(*),(*),(*),(*),(*),NA,NA,NA,NA,NA,NA,NA,NA,96,96,28,-20,236,204,232,215,216,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,254,226,301,308,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,-65,29,NA,NA,32,-4
    Peru,7573,4541,5700,5455,6470,7394,5311,2244,2950,3484,3771,4901,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,648,576,695,605,640,572,59,65,134,139,157,127,162,162,175,97,91,97,(*),(*),(*),(*),(*),(*),99,86,47,46,44,42,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,10,(*),(*),(*),(*),(*),(*),307,NA,NA,NA,NA,NA,261,238,239,377,447,343,57,58,58,58,58,37,NA,NA,NA,NA,NA,NA,NA,194,328,283,316,218,157,118,227,174,NA,NA,393,426,NA,NA,NA,NA,191,NA,364,346,366,386
    Venezuela,9825,5113,3174,2338,2168,1647,568,378,159,29,74,24,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,4065,1923,1104,651,720,825,NA,NA,NA,NA,101,NA,2505,361,411,157,316,327,12,4,NA,4,4,4,45,46,58,60,44,44,NA,NA,NA,NA,NA,NA,134,18,18,18,18,18,NA,NA,NA,NA,NA,NA,388,103,153,172,149,156,394,231,93,100,242,NA,1442,461,125,-9,-44,-60,0,0,0,0,0,0,NA,271,301,291,29,NA,667,524,256,238,374,390,1502,1061,992,822,627,65,NA,264,142,215,146,188
    Other,3638,4417,3240,5367,6350,20840,NA,NA,NA,3856,4860,4696,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,698,669,231,179,203,53,NA,NA,67,56,NA,-1,NA,61,NA,31,24,-41,NA,(*),NA,0,0,0,6,NA,NA,6,6,6,18,18,18,18,18,18,3,3,3,NA,NA,NA,4,4,4,2,2,2,NA,NA,NA,NA,67,NA,191,217,202,190,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413,424,456,529,275,NA,NA,32,-28,NA,-30,NA,NA,NA,14,2,NA,NA,702,725,276,228,298,NA
  Central America,112690,109314,111631,107381,111467,113001,9282,9739,9965,9902,9953,11402,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,40524,42430,45531,41994,43221,44064,3547,3615,4075,3989,4475,4650,6656,6422,5646,5405,5521,4433,1199,2233,NA,NA,NA,NA,1911,2493,2201,NA,NA,NA,1412,1409,1452,1154,1580,1614,1939,1573,1939,1950,2043,2349,12080,14800,16584,14635,14283,14898,11780,9885,NA,11453,11811,12300,3612,4013,4839,5278,5436,5098,3181,2338,1859,2285,2902,2767,NA,NA,NA,NA,NA,NA,15967,15827,16636,13403,13976,15378,542,-208,25,135,664,436,22884,21247,17961,19248,19473,19288,NA,NA,NA,NA,NA,NA
    Costa Rica,1642,1335,1546,1589,2014,1988,0,0,0,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1588,1193,1320,1161,1192,902,30,6,8,24,23,25,293,307,368,338,340,52,5,6,5,5,5,5,1,1,1,1,1,1,252,244,247,253,264,270,NA,177,202,NA,239,241,(*),(*),(*),(*),(*),1,NA,453,488,NA,319,306,-359,-239,-210,-76,-6,138,-1,-1,-1,-1,-7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,76,100,94,114,109,NA,NA,NA,NA,NA,NA,-179,-218,-208,-174,79,163
    Guatemala,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Honduras,1274,1283,1330,1202,1362,1111,0,0,0,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,925,936,956,816,976,668,NA,NA,NA,NA,NA,NA,5,NA,10,12,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,(*),(*),(*),(*),(*),(*),NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,40,22,-8,-41,-90,-160,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,0,0,0,0,0,0,64,55,93,120,132,234
    Mexico,101326,98421,100169,95543,98010,101057,9280,9557,9753,9689,9757,11194,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,37139,39243,42231,38652,39406,40886,3380,3531,3982,3905,4386,4571,6262,6075,5183,4850,5037,4209,1192,NA,2280,2298,2780,2975,1903,2485,2193,1093,713,831,1119,1198,1134,944,1131,1165,1825,1393,1734,1725,1801,2105,NA,NA,NA,14631,14287,NA,NA,7728,NA,9205,9271,NA,3451,3618,4036,4618,4648,4418,3114,2278,1807,2242,2863,2720,947,NA,NA,NA,NA,916,12929,13634,15115,11998,12535,13940,357,-392,-184,-31,478,255,20457,18432,14981,15695,15451,15758,13652,NA,NA,NA,NA,10971
    Panama,4447,4472,4821,5206,5785,4583,2,NA,211,212,196,208,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,90,188,-37,150,155,236,56,14,15,15,15,16,31,-31,8,90,NA,NA,2,NA,2,2,2,2,6,6,6,6,6,6,2,6,NA,NA,NA,NA,NA,NA,NA,3,3,3,0,0,0,0,0,0,NA,NA,NA,NA,57,109,390,528,931,683,823,674,18,14,13,14,15,14,NA,NA,NA,NA,NA,NA,599,231,395,369,359,332,92,92,93,56,56,57,2353,2743,2909,3484,3955,3464,NA,426,NA,NA,NA,NA
    Other,4001,3803,3766,3841,4296,4263,(*),NA,(*),(*),(*),(*),n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,781,870,1062,1215,1492,1372,NA,NA,NA,NA,NA,NA,65,NA,77,115,NA,NA,(*),(*),NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,(*),(*),(*),(*),NA,(*),NA,NA,NA,NA,NA,NA,90,83,89,94,60,28,45,44,36,26,28,26,NA,NA,NA,NA,NA,NA,NA,NA,548,434,417,410,14,14,14,14,14,14,NA,NA,NA,NA,NA,NA,391,433,NA,NA,NA,NA
  Other Western Hemisphere,660650,650972,758114,758586,680845,709240,15231,13890,14302,10518,5539,5689,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1686,7825,9299,6068,5941,6084,86,231,225,228,219,212,-690,142,118,201,160,222,NA,335,NA,NA,NA,NA,162,NA,NA,NA,NA,NA,832,5120,6181,2537,1268,1086,4,4,4,4,4,4,5,-1,-9,17,16,-36,NA,NA,1071,1265,1904,2047,23631,19772,21749,24832,26405,30994,7894,9112,10691,11523,10053,8716,14413,14128,20881,23482,22622,12263,160923,153487,177223,236779,223903,235669,1868,1636,824,3843,3670,3530,424414,419212,490943,430639,372274,395792,10590,11910,12201,10902,10437,10502
    Bahamas,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Barbados,14084,20910,21736,40015,44586,57053,5,7,10,12,12,11,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,61,73,67,71,154,140,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,7,7,0,0,0,0,0,0,NA,12,3,4,7,5,9,NA,9,9,9,9,0,0,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),NA,NA,7783,NA,NA,NA,NA,NA,3,3,3,3,3,3,0,0,0,0,0,0,3744,12114,12067,21319,24410,27380,5,5,NA,NA,NA,NA,1707,2024,2405,9847,9834,18233,776,NA,NA,NA,NA,NA
    Bermuda,303244,311363,401435,339399,273240,274576,135,237,241,248,195,212,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,-190,1157,1970,2176,2429,2738,0,0,0,0,-1,-1,NA,45,45,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,(*),(*),NA,NA,53,53,52,52,52,11378,NA,NA,NA,NA,NA,3900,4872,5973,7047,6748,5787,375,386,391,419,212,222,21056,21546,36329,59158,64451,68216,442,469,593,NA,NA,NA,263524,267488,338867,250801,179156,173715,2624,NA,NA,-261,-825,-609
    Dominican Republic,1079,1469,2009,2101,2710,2806,0,0,0,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,708,960,1346,1524,2064,2206,6,NA,NA,NA,NA,NA,6,NA,6,NA,-5,-6,NA,NA,NA,NA,NA,NA,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),0,0,0,0,0,0,NA,765,1147,1324,1868,2018,46,127,121,56,55,54,70,67,62,57,66,66,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,1,-2,-9,-5,-13,-20,11,11,10,10,8,8,NA,NA,NA,NA,NA,NA
    Jamaica,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Netherlands Antilles,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Trinidad and Tobago,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
"    United Kingdom Islands, Caribbean",303438,282111,286601,304716,289959,304816,9923,8683,9253,5783,795,1206,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,602,5371,5610,2065,1110,826,0,0,0,0,0,0,160,152,158,111,113,114,20,29,16,15,13,12,24,NA,NA,NA,NA,NA,377,4537,NA,NA,NA,NA,4,4,4,4,4,4,NA,NA,NA,16,16,NA,NA,NA,-153,-160,-144,-137,NA,337,317,1114,832,785,3249,3342,3483,3280,NA,2819,12998,12518,NA,NA,NA,NA,122483,105862,111917,117200,96047,99922,138,-20,35,-63,-314,-402,148160,139680,137091,155986,169327,189633,NA,6338,NA,NA,6367,NA
    Other,38805,35118,46333,72356,70349,69990,5167,4964,4798,4474,4538,4260,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,504,265,306,233,183,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(*),(*),(*),(*),(*),(*),NA,NA,7,-9,-3,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,26,24,48,NA,NA,NA,797,818,742,378,NA,673,829,1169,1136,NA,40,NA,NA,NA,NA,NA,NA,13631,13956,16901,39093,38986,40143,1282,1185,NA,NA,NA,NA,11012,10009,12569,13996,13949,14203,1917,NA,NA,NA,2352,NA
Africa,52004,49926,50403,48069,46053,47500,25887,19204,17930,16601,16073,15273,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,5503,5692,5399,6762,8150,8363,1618,1016,1051,2953,4291,4407,1205,1075,992,806,606,496,84,225,166,174,79,134,441,428,358,265,470,577,-253,87,82,122,139,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083,1124,1058,742,771,NA,2224,1956,2281,2306,2703,3044,1161,1086,750,731,626,524,NA,NA,NA,NA,NA,NA,3453,4386,4588,4582,3358,4378,1760,1858,1741,1661,1955,1946,7037,10554,12549,10060,7350,7927,NA,NA,NA,NA,NA,NA
  Egypt,14068,10545,11095,11028,11133,11206,NA,NA,NA,NA,NA,NA,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,306,324,186,613,806,953,359,NA,NA,313,488,543,142,-18,-142,58,52,25,-5,NA,NA,NA,NA,NA,40,8,21,26,18,18,NA,4,21,39,NA,NA,-3,-3,-3,-3,-3,-3,NA,-1,NA,NA,NA,4,97,102,47,66,153,156,271,226,325,357,514,724,22,28,34,40,46,51,NA,NA,NA,NA,NA,NA,55,43,23,-2,32,33,54,174,84,112,66,35,NA,NA,NA,NA,NA,NA,NA,NA,60,76,164,55
  Nigeria,5872,4252,4844,4504,6572,6811,2450,2543,2028,1633,2514,2603,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,369,217,131,251,1405,1416,17,17,17,18,NA,NA,NA,2,NA,3,NA,NA,0,(*),(*),0,0,0,NA,NA,NA,NA,NA,NA,14,13,17,20,25,28,0,0,0,0,0,0,0,0,0,0,0,0,154,NA,19,NA,108,108,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,NA,NA,(*),(*),NA,NA,NA,NA,(*),(*),(*),(*),(*),(*),NA,NA,NA,NA,NA,NA,-1,NA,-1,-1,-1,-1
  South Africa,6926,7398,8058,9088,9167,10023,-22,-113,-221,-204,-184,-163,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,3670,3839,3897,5123,5295,5199,1067,757,753,2427,2470,2504,835,939,1065,805,665,612,38,28,8,-10,-28,-46,204,218,212,93,285,349,33,18,-16,-6,-20,-40,NA,NA,NA,NA,NA,NA,533,664,728,868,1069,1046,NA,NA,NA,NA,NA,NA,596,493,791,847,733,795,149,223,252,224,211,205,NA,NA,NA,NA,NA,NA,356,642,826,736,774,697,585,580,585,458,478,518,424,475,487,501,310,1196,NA,NA,NA,NA,NA,NA
  Other,25139,27731,26407,23450,19181,19460,NA,NA,NA,NA,NA,NA,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1157,1313,1185,776,644,795,176,NA,NA,195,NA,NA,NA,152,NA,-60,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,60,68,NA,NA,NA,NA,NA,NA,NA,NA,162,NA,163,168,68,NA,NA,665,NA,321,NA,370,NA,NA,NA,NA,NA,1428,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,3042,3701,NA,NA,NA,NA,1121,1104,1071,1090,1410,1392,NA,NA,NA,NA,NA,NA,2148,NA,NA,2163,2241,2324
